time,SPE号,适配层/百分比例,VPI/VCI,比例
20121211,ATM1,AAL1,0000:01F3,"数量:1711798272字节"
20121211,ATM1,AAL1,0000:01FF,"数量:633458688字节"
20121211,ATM1,AAL1,0000:0200,"数量:633504768字节"
20121211,ATM1,AAL1,0000:020D,"数量:633434112字节"
20121211,ATM1,AAL1,0000:020E,"数量:633412608字节"
20121211,ATM1,AAL1,0000:0211,"数量:633434112字节"
20121211,ATM1,AAL1,0000:0218,"数量:633421824字节"
20121211,ATM1,AAL1,0000:021C,"数量:633409536字节"
20121211,ATM1,AAL1,0000:021D,"数量:633446400字节"
20121211,ATM1,AAL1,0000:021E,"数量:633470976字节"
20121211,ATM1,AAL1,0000:0221,"数量:633446400字节"
20121211,ATM1,AAL1,0000:0228,"数量:633446400字节"
20121211,ATM1,AAL1,0000:0229,"数量:633452544字节"
20121211,ATM1,AAL1,0000:022A,"数量:633513984字节"
20121211,ATM1,AAL1,0000:022B,"数量:633424896字节"
20121211,ATM1,AAL1,0000:022C,"数量:633427968字节"
20121211,ATM1,AAL1,0000:022D,"数量:633431040字节"
20121211,ATM1,AAL1,0000:022E,"数量:633464832字节"
20121211,ATM1,AAL1,0000:022F,"数量:633449472字节"
20121211,ATM1,AAL1,0000:0230,"数量:633464832字节"
20121211,ATM1,AAL1,0000:0231,"数量:633421824字节"
20121211,ATM1,AAL1,0000:0232,"数量:633443328字节"
20121211,ATM1,AAL1,0000:0233,"数量:633421824字节"
20121211,ATM1,AAL1,0000:0234,"数量:633443328字节"
20121211,ATM1,AAL1,0000:0235,"数量:633443328字节"
20121211,ATM1,AAL1,0000:4C7C,"数量:1698195456字节"
20121211,ATM1,AAL2,0000:002F;CID编号:11,"数量:90851136字节"
20121211,ATM1,AAL2,0000:004C;CID编号:11,"数量:90851364字节"
20121211,ATM1,AAL2,0000:01F0;CID编号:11,"数量:90850990字节"
20121211,ATM1,AAL2,0000:01F1;CID编号:11,"数量:90853048字节"
20121211,ATM1,AAL2,0000:01F2;CID编号:11,"数量:90852538字节"
20121211,ATM1,AAL2,0000:01F4;CID编号:11,"数量:90849344字节"
20121211,ATM1,AAL2,0000:01F7;CID编号:11,"数量:90850468字节"
20121211,ATM1,AAL2,0000:01F8;CID编号:11,"数量:90845092字节"
20121211,ATM1,AAL2,0000:01FE;CID编号:11,"数量:90847506字节"
20121211,ATM1,AAL2,0000:0237;CID编号:11,"数量:571163104字节"
20121211,ATM1,AAL2,0000:0237;CID编号:12,"数量:571194420字节"
20121211,ATM1,AAL2,0000:0237;CID编号:13,"数量:571203064字节"
20121211,ATM1,AAL2,0000:0237;CID编号:14,"数量:571190240字节"
20121211,ATM1,AAL2,0000:0237;CID编号:15,"数量:571220224字节"
20121211,ATM1,AAL2,0000:0237;CID编号:16,"数量:571240392字节"
20121211,ATM1,AAL2,0000:0237;CID编号:17,"数量:571223412字节"
20121211,ATM1,AAL2,0000:0237;CID编号:18,"数量:571228412字节"
20121211,ATM1,AAL2,0000:0237;CID编号:19,"数量:571228300字节"
20121211,ATM1,AAL2,0000:0237;CID编号:20,"数量:571244808字节"
20121211,ATM1,AAL2,0000:0237;CID编号:21,"数量:571231644字节"
20121211,ATM1,AAL2,0000:0237;CID编号:22,"数量:571223760字节"
20121211,ATM1,AAL2,0000:0237;CID编号:23,"数量:571227016字节"
20121211,ATM1,AAL2,0000:0237;CID编号:24,"数量:571227540字节"
20121211,ATM1,AAL2,0000:0237;CID编号:25,"数量:571245020字节"
20121211,ATM1,AAL2,0000:0237;CID编号:26,"数量:571250844字节"
20121211,ATM1,AAL2,0000:0237;CID编号:27,"数量:571281984字节"
20121211,ATM1,AAL2,0000:0237;CID编号:28,"数量:571270804字节"
20121211,ATM1,AAL2,0000:0237;CID编号:29,"数量:571277252字节"
20121211,ATM1,AAL2,0000:0237;CID编号:30,"数量:571264928字节"
20121211,ATM1,AAL2,0000:0237;CID编号:31,"数量:571255564字节"
20121211,ATM1,AAL2,0000:0237;CID编号:32,"数量:571145880字节"
20121211,ATM1,AAL2,0000:0237;CID编号:33,"数量:571112500字节"
20121211,ATM1,AAL2,0000:0237;CID编号:34,"数量:571130124字节"
20121211,ATM1,AAL2,0000:0238;CID编号:11,"数量:571159432字节"
20121211,ATM1,AAL2,0000:0239;CID编号:11,"数量:90849662字节"
20121211,ATM1,AAL2,0000:023A;CID编号:11,"数量:90850356字节"
20121211,ATM1,AAL2,0000:023B;CID编号:11,"数量:90854108字节"
20121211,ATM1,AAL2,0000:023C;CID编号:11,"数量:90851484字节"
20121211,ATM1,AAL2,0000:023D;CID编号:11,"数量:90848024字节"
20121211,ATM1,AAL2,0000:023E;CID编号:11,"数量:90851180字节"
20121211,ATM1,AAL2,0000:06CC;CID编号:11,"数量:90666586字节"
20121211,ATM1,AAL2,0000:0709;CID编号:11,"数量:571148296字节"
