fileName,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88,attr89,attr90,attr91,attr92,attr93,attr94,attr95,attr96,attr97,attr98,attr99,attr100,attr101,attr102,attr103,attr104,attr105,attr106,attr107,attr108,attr109,attr110,attr111,attr112,attr113,attr114,attr115,attr116,attr117,attr118,attr119,attr120,attr121,attr122,attr123,attr124,attr125,attr126
20120611-R05-73XX.csv,1,1,48,27,5,29,1,27,1,1,1,5,29,226,1,7,13,1,9,1,173,1,1,1,1,39,7,40,1,1,7,1,1,1,5,1,4,1,1,17,1,1,1,1,1,1,1,80,88,131,131,131,142,146,154,173,226,48,1,50,38,1,40,40,1,38,1,40,40,1,31,1,31,1,31,1,13,13,1,1,1,1,27,1,27,1,27,1,29,1,29,1,33,4,4,1,7,1,35,1,35,1,35,1,35,1,1,45,1,1,45,1,1,44,1,1,7,1,9,1,9,1,9,1,9,1,9
20120612-R05-73XX.csv,1,1,308,11,5,9,1,11,1,1,1,5,9,48,1,5,43,1,15,1,43,1,1,1,1,106,19,166,1,1,5,1,1,1,5,1,4,1,1,13,1,1,1,1,1,1,1,36,36,42,42,44,43,43,45,43,48,308,1,268,164,1,170,166,1,138,1,107,107,1,64,1,64,1,64,1,36,43,1,1,1,1,11,1,11,1,11,1,9,1,9,1,9,4,4,1,5,1,9,1,9,1,9,1,9,1,1,9,1,1,9,1,1,11,1,1,19,1,15,1,15,1,15,1,15,1,15
20120613-R05-72XX.csv,16,7,1,1,1,1,16,1,5,16,16,1,1,1,16,1,1,16,1,12,1,14,3,5,16,1,1,1,236,16,1,12,16,9,1,7,1,7,16,1,16,16,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,248,1,1,236,1,1,154,1,154,1,1,9,1,15,1,3,1,4,1,1,16,16,16,16,1,16,1,16,1,9,1,16,1,16,1,1,1,7,1,16,1,16,1,16,1,16,1,5,16,1,5,16,1,5,16,1,16,14,1,14,1,14,1,14,1,14,1,14,1
20120613-R05-73XX.csv,1,1,268,13,5,11,1,13,1,1,1,5,11,50,1,5,43,1,11,1,43,1,1,1,1,117,25,179,1,1,5,1,1,1,5,1,4,1,1,13,1,1,1,1,1,1,1,38,38,42,44,46,43,45,47,43,50,268,1,331,175,1,183,179,1,149,1,118,122,1,70,1,70,1,70,1,36,43,1,1,1,1,13,1,13,1,13,1,11,1,11,1,9,4,4,1,5,1,9,1,9,1,9,1,9,1,1,11,1,1,11,1,1,13,1,1,25,1,11,1,11,1,11,1,11,1,11
20120614-R05-73XX.csv,1,1,164,9,5,9,1,9,1,1,1,5,9,38,1,5,13,1,7,1,33,1,1,1,1,319,23,379,1,1,5,1,1,1,5,1,4,1,1,9,1,1,1,1,1,1,1,28,28,34,34,34,35,35,37,33,38,164,1,175,391,1,387,379,1,349,1,320,290,1,74,1,74,1,74,1,36,13,1,1,1,1,9,1,9,1,9,1,9,1,9,1,9,4,4,1,5,1,9,1,9,1,9,1,9,1,1,9,1,1,9,1,1,9,1,1,23,1,7,1,7,1,7,1,7,1,7
20120615-R05-72XX.csv,16,7,1,1,1,1,16,1,5,16,16,1,1,1,16,1,1,16,1,12,1,14,3,5,16,1,1,1,244,16,1,12,16,9,1,7,1,7,16,1,16,16,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,236,1,1,244,1,1,160,1,154,1,1,9,1,15,1,3,1,4,1,1,16,16,16,16,1,16,1,16,1,9,1,16,1,16,1,1,1,7,1,16,1,16,1,16,1,16,1,5,16,1,5,16,1,5,16,1,16,14,1,14,1,14,1,14,1,14,1,14,1
20120615-R05-73XX.csv,1,1,170,9,5,9,1,9,1,1,1,5,9,40,1,5,15,1,7,1,33,1,1,1,1,327,27,393,1,1,5,1,1,1,5,1,4,1,1,13,1,1,1,1,1,1,1,34,34,36,38,40,37,39,41,33,40,170,1,183,387,1,409,393,1,359,1,328,300,1,74,1,74,1,74,1,36,15,1,1,1,1,9,1,9,1,9,1,9,1,9,1,9,4,4,1,5,1,9,1,9,1,9,1,9,1,1,9,1,1,9,1,1,9,1,1,29,1,7,1,7,1,7,1,7,1,7
20120616-R05-73XX.csv,1,1,166,11,5,11,1,11,1,1,1,5,11,40,1,5,15,1,7,1,33,1,1,1,1,331,25,405,1,1,5,1,1,1,5,1,4,1,1,13,1,1,1,1,1,1,1,34,34,36,40,42,37,39,41,33,40,166,1,179,379,1,393,405,1,363,1,332,304,1,74,1,74,1,74,1,36,15,1,1,1,1,11,1,11,1,11,1,11,1,11,1,11,4,4,1,5,1,11,1,11,1,11,1,11,1,1,11,1,1,11,1,1,11,1,1,25,1,7,1,7,1,7,1,7,1,7
20120617-R05-72XX.csv,38,7,1,1,1,1,38,1,5,38,38,1,1,1,38,1,1,38,1,25,1,25,4,5,38,1,1,1,160,38,1,25,38,22,1,7,1,7,38,1,38,38,38,38,38,38,38,1,1,1,1,1,1,1,1,1,1,1,154,1,1,160,1,1,233,1,217,1,1,10,1,19,1,4,1,39,1,1,38,38,38,38,1,38,1,38,1,22,1,38,1,38,1,1,1,7,1,38,1,38,1,38,1,38,1,5,38,1,5,38,1,5,38,1,38,36,1,30,1,30,1,30,1,30,1,30,1
20120617-R05-73XX.csv,1,1,138,9,5,9,1,9,1,1,1,5,9,38,1,5,17,1,7,1,33,1,1,1,1,343,25,363,1,1,5,1,1,1,5,1,4,1,1,15,1,1,1,1,1,1,1,34,34,36,36,38,37,37,41,33,38,138,1,149,349,1,359,363,1,391,1,344,316,1,88,1,90,1,88,1,40,17,1,1,1,1,9,1,9,1,9,1,9,1,9,1,9,4,4,1,5,1,9,1,9,1,9,1,9,1,1,9,1,1,9,1,1,9,1,1,25,1,9,1,7,1,7,1,7,1,7
